8.79E+02							-6.27E-06
8.84E+02							-4.88E-06
8.90E+02							-4.83E-06
8.95E+02							-6.32E-06
9.00E+02							-5.72E-06
9.05E+02							-5.72E-06
9.10E+02							-5.60E-06
9.15E+02							-5.56E-06
9.22E+02							-3.94E-06
9.27E+02							-6.76E-06
9.32E+02							-5.76E-06
9.38E+02							-5.10E-06
9.43E+02							-5.96E-06
9.48E+02							-5.88E-06
9.53E+02							-6.04E-06
9.58E+02							-6.24E-06
9.64E+02							-5.53E-06
9.69E+02							-7.48E-06
9.75E+02							-4.80E-06
9.80E+02							-6.76E-06
9.86E+02							-7.07E-06
9.91E+02							-5.24E-06
9.96E+02							-6.64E-06
1.00E+03							-5.70E-06
1.01E+03							-6.60E-06
1.01E+03							-6.20E-06
1.02E+03							-5.10E-06
1.02E+03							-6.60E-06
1.03E+03							-6.24E-06
1.03E+03							-5.80E-06
1.04E+03							-5.16E-06
1.04E+03							-6.04E-06
1.05E+03							-6.40E-06
1.06E+03							-6.47E-06
1.06E+03							-6.12E-06
1.07E+03							-4.93E-06
1.07E+03							-7.00E-06
1.08E+03							-6.60E-06
1.08E+03							-6.52E-06
1.09E+03							-6.40E-06
1.09E+03							-5.67E-06
1.10E+03							-6.44E-06
1.10E+03							-6.56E-06
1.11E+03							-6.44E-06
1.11E+03							-5.90E-06
1.12E+03							-6.88E-06
1.12E+03							-7.12E-06
1.13E+03							-6.92E-06
1.13E+03							-5.87E-06
1.14E+03							-7.40E-06
1.14E+03							-7.48E-06
1.15E+03							-7.16E-06
1.16E+03							-5.80E-06
1.16E+03							-7.20E-06
1.17E+03							-6.40E-06
1.17E+03							-6.87E-06
1.18E+03							-8.36E-06
1.18E+03							-8.40E-06
1.19E+03							-7.53E-06
1.19E+03							-8.96E-06
1.20E+03							-9.16E-06
1.20E+03							-7.40E-06
1.21E+03							-9.20E-06
1.21E+03							-8.92E-06
1.22E+03							-7.53E-06
1.23E+03							-9.36E-06
1.23E+03							-7.30E-06
1.24E+03							-8.80E-06
1.24E+03							-7.33E-06
1.25E+03							-9.08E-06
1.25E+03							-7.53E-06
1.26E+03							-9.60E-06
1.26E+03							-7.73E-06
1.27E+03							-9.08E-06
1.27E+03							-9.64E-06
1.28E+03							-7.90E-06
1.29E+03							-9.16E-06
1.29E+03							-9.12E-06
1.30E+03							-9.16E-06
1.30E+03							-9.40E-06
1.31E+03							-7.73E-06
1.31E+03							-9.80E-06
1.32E+03							-9.24E-06
1.32E+03							-7.63E-06
1.33E+03							-9.52E-06
1.33E+03							-8.80E-06
1.34E+03							-8.80E-06
1.34E+03							-8.80E-06
1.35E+03							-9.12E-06
1.35E+03							-7.83E-06
1.36E+03							-9.40E-06
1.36E+03							-9.64E-06
1.37E+03							-8.23E-06
1.37E+03							-1.00E-05
1.38E+03							-1.02E-05
1.39E+03							-8.13E-06
1.39E+03							-1.02E-05
1.40E+03							-1.01E-05
1.40E+03							-8.33E-06
1.41E+03							-9.16E-06
1.41E+03							-9.16E-06
1.42E+03							-7.70E-06
1.42E+03							-1.02E-05
1.43E+03							-1.00E-05
1.43E+03							-7.09E-06
1.44E+03							-1.24E-05
1.44E+03							-9.84E-06
1.45E+03							-9.76E-06
1.46E+03							-8.10E-06
1.46E+03							-1.24E-05
1.47E+03							-5.77E-06
1.47E+03							-1.12E-05
1.48E+03							-1.01E-05
1.48E+03							-6.70E-06
1.49E+03							-9.80E-06
1.49E+03							-8.17E-06
1.50E+03							-9.80E-06
1.50E+03							-9.53E-06
1.51E+03							-1.04E-05
1.51E+03							-8.36E-06
1.52E+03							-8.30E-06
1.53E+03							-9.68E-06
1.53E+03							-1.08E-05
1.54E+03							-7.13E-06
1.54E+03							-9.36E-06
1.55E+03							-9.48E-06
1.55E+03							-9.36E-06
1.56E+03							-9.12E-06
1.56E+03							-7.57E-06
1.57E+03							-9.52E-06
1.57E+03							-8.64E-06
1.58E+03							-9.40E-06
1.58E+03							-9.60E-06
1.59E+03							-8.07E-06
1.59E+03							-1.01E-05
1.60E+03							-8.53E-06
1.60E+03							-1.06E-05
1.61E+03							-8.70E-06
1.62E+03							-1.06E-05
1.62E+03							-1.01E-05
1.63E+03							-9.07E-06
1.63E+03							-1.08E-05
1.64E+03							-1.08E-05
1.64E+03							-1.15E-05
1.65E+03							-1.16E-05
1.65E+03							-1.16E-05
1.66E+03							-9.90E-06
1.66E+03							-1.24E-05
1.67E+03							-1.04E-05
1.67E+03							-1.41E-05
1.68E+03							-1.22E-05
1.68E+03							-1.03E-05
1.69E+03							-1.21E-05
1.69E+03							-1.20E-05
1.70E+03							-1.23E-05
1.70E+03							-1.20E-05
1.71E+03							-1.02E-05
1.72E+03							-1.14E-05
1.72E+03							-1.13E-05
1.73E+03							-9.83E-06
1.73E+03							-1.23E-05
1.74E+03							-1.14E-05
1.74E+03							-1.05E-05
1.75E+03							-1.04E-05
1.75E+03							-1.13E-05
1.76E+03							-9.87E-06
1.76E+03							-1.19E-05
1.77E+03							-1.13E-05
1.77E+03							-1.14E-05
1.78E+03							-1.02E-05
1.78E+03							-1.13E-05
1.79E+03							-1.10E-05
1.80E+03							-9.00E-06
1.80E+03							-1.21E-05
1.81E+03							-9.53E-06
1.81E+03							-1.25E-05
1.82E+03							-9.77E-06
1.82E+03							-1.18E-05
1.83E+03							-1.14E-05
1.83E+03							-9.63E-06
1.84E+03							-1.21E-05
1.84E+03							-1.14E-05
1.85E+03							-1.46E-05
1.85E+03							-8.52E-06
1.86E+03							-9.50E-06
1.86E+03							-1.18E-05
1.87E+03							-1.23E-05
1.88E+03							-1.01E-05
1.88E+03							-1.19E-05
1.89E+03							-1.24E-05
1.89E+03							-1.20E-05
1.90E+03							-1.01E-05
1.90E+03							-1.26E-05
1.91E+03							-1.25E-05
1.91E+03							-1.04E-05
1.92E+03							-1.32E-05
1.92E+03							-1.28E-05
1.93E+03							-1.28E-05
1.93E+03							-1.11E-05
1.94E+03							-1.29E-05
1.94E+03							-1.33E-05
1.95E+03							-1.31E-05
1.95E+03							-1.33E-05
1.96E+03							-1.10E-05
1.96E+03							-1.37E-05
1.97E+03							-1.37E-05
1.98E+03							-1.20E-05
1.98E+03							-1.53E-05
1.99E+03							-1.40E-05
1.99E+03							-1.23E-05
2.00E+03							-1.44E-05
2.00E+03							-1.48E-05
2.01E+03							-1.18E-05
2.01E+03							-1.51E-05
2.02E+03							-1.48E-05
2.02E+03							-1.22E-05
2.03E+03							-1.60E-05
2.03E+03							-1.23E-05
2.04E+03							-1.38E-05
2.04E+03							-1.41E-05
2.05E+03							-1.42E-05
2.05E+03							-1.44E-05
2.06E+03							-1.16E-05
2.07E+03							-1.51E-05
2.07E+03							-1.29E-05
2.08E+03							-1.52E-05
2.08E+03							-1.28E-05
2.09E+03							-1.61E-05
2.09E+03							-1.30E-05
2.10E+03							-1.56E-05
2.10E+03							-1.30E-05
2.11E+03							-1.30E-05
2.12E+03							-1.55E-05
2.12E+03							-1.54E-05
2.13E+03							-1.61E-05
2.13E+03							-1.59E-05
2.14E+03							-1.32E-05
2.14E+03							-1.64E-05
2.15E+03							-1.57E-05
2.15E+03							-1.36E-05
2.16E+03							-1.57E-05
2.16E+03							-1.62E-05
2.17E+03							-1.65E-05
2.17E+03							-1.45E-05
2.18E+03							-1.87E-05
2.19E+03							-1.40E-05
2.19E+03							-1.81E-05
2.20E+03							-1.72E-05
2.20E+03							-1.80E-05
2.21E+03							-1.50E-05
2.21E+03							-1.76E-05
2.22E+03							-1.87E-05
2.22E+03							-1.53E-05
2.23E+03							-1.66E-05
2.23E+03							-1.71E-05
2.24E+03							-1.68E-05
2.24E+03							-1.39E-05
2.25E+03							-1.70E-05
2.25E+03							-1.74E-05
2.26E+03							-1.40E-05
2.26E+03							-1.79E-05
2.27E+03							-1.74E-05
2.27E+03							-1.71E-05
2.28E+03							-1.74E-05
2.29E+03							-1.46E-05
2.29E+03							-1.76E-05
2.30E+03							-1.78E-05
2.30E+03							-1.80E-05
2.31E+03							-1.78E-05
2.31E+03							-1.49E-05
2.32E+03							-1.76E-05
2.32E+03							-1.75E-05
2.33E+03							-1.73E-05
2.33E+03							-1.74E-05
2.34E+03							-1.51E-05
2.34E+03							-1.54E-05
2.35E+03							-1.84E-05
2.35E+03							-1.71E-05
2.36E+03							-1.74E-05
2.36E+03							-1.44E-05
2.37E+03							-1.72E-05
2.37E+03							-1.78E-05
2.38E+03							-1.69E-05
2.39E+03							-1.42E-05
2.39E+03							-1.97E-05
2.40E+03							-1.95E-05
2.40E+03							-1.59E-05
2.41E+03							-1.94E-05
2.41E+03							-1.89E-05
2.42E+03							-1.83E-05
2.42E+03							-1.86E-05
2.43E+03							-1.54E-05
2.43E+03							-1.85E-05
2.44E+03							-1.55E-05
2.44E+03							-2.04E-05
2.45E+03							-1.96E-05
2.45E+03							-1.86E-05
2.46E+03							-1.54E-05
2.46E+03							-1.85E-05
2.47E+03							-1.88E-05
2.48E+03							-1.55E-05
2.48E+03							-1.90E-05
2.49E+03							-1.52E-05
2.49E+03							-2.10E-05
2.50E+03							-1.62E-05
2.50E+03							-1.88E-05
2.51E+03							-1.59E-05
2.51E+03							-1.99E-05
2.52E+03							-2.12E-05
2.52E+03							-1.71E-05
2.53E+03							-2.09E-05
2.53E+03							-2.04E-05
2.54E+03							-2.04E-05
2.55E+03							-1.68E-05
2.55E+03							-2.26E-05
2.56E+03							-2.08E-05
2.56E+03							-1.72E-05
2.57E+03							-1.75E-05
2.57E+03							-2.30E-05
2.58E+03							-1.98E-05
2.58E+03							-1.90E-05
2.59E+03							-1.67E-05
2.59E+03							-1.91E-05
2.60E+03							-1.72E-05
2.61E+03							-1.92E-05
2.61E+03							-1.98E-05
2.62E+03							-2.02E-05
2.62E+03							-1.63E-05
2.63E+03							-2.03E-05
2.63E+03							-1.81E-05
2.64E+03							-1.95E-05
2.64E+03							-2.02E-05
2.65E+03							-1.65E-05
2.65E+03							-2.01E-05
2.66E+03							-1.76E-05
2.67E+03							-1.96E-05
2.67E+03							-2.03E-05
2.68E+03							-1.97E-05
2.68E+03							-1.64E-05
2.69E+03							-2.20E-05
2.69E+03							-2.01E-05
2.70E+03							-1.70E-05
2.70E+03							-2.17E-05
2.71E+03							-2.13E-05
2.71E+03							-2.05E-05
2.72E+03							-1.83E-05
2.72E+03							-2.18E-05
2.73E+03							-1.84E-05
2.73E+03							-2.11E-05
2.74E+03							-1.99E-05
2.75E+03							-1.69E-05
2.75E+03							-2.00E-05
2.76E+03							-2.00E-05
2.76E+03							-2.10E-05
2.77E+03							-1.65E-05
2.77E+03							-2.07E-05
2.78E+03							-2.17E-05
2.78E+03							-2.06E-05
2.79E+03							-2.10E-05
2.79E+03							-2.14E-05
2.80E+03							-1.77E-05
2.80E+03							-1.81E-05
2.81E+03							-2.30E-05
2.81E+03							-2.13E-05
2.82E+03							-1.69E-05
2.82E+03							-2.11E-05
2.83E+03							-2.14E-05
2.84E+03							-1.77E-05
2.84E+03							-1.82E-05
2.85E+03							-2.44E-05
2.85E+03							-2.12E-05
2.86E+03							-2.17E-05
2.86E+03							-1.83E-05
2.87E+03							-2.26E-05
2.87E+03							-2.24E-05
2.88E+03							-2.18E-05
2.88E+03							-2.23E-05
2.89E+03							-1.85E-05
2.89E+03							-2.18E-05
2.90E+03							-2.24E-05
2.90E+03							-2.34E-05
2.91E+03							-1.91E-05
2.92E+03							-1.94E-05
2.92E+03							-2.45E-05
2.93E+03							-2.28E-05
2.93E+03							-1.84E-05
2.94E+03							-2.21E-05
2.94E+03							-2.08E-05
2.95E+03							-1.77E-05
2.95E+03							-2.04E-05
2.96E+03							-2.03E-05
2.96E+03							-1.70E-05
2.97E+03							-2.04E-05
2.97E+03							-2.14E-05
2.98E+03							-1.92E-05
2.98E+03							-2.08E-05
2.99E+03							-1.69E-05
2.99E+03							-2.05E-05
3.00E+03							-2.06E-05
3.01E+03							-1.75E-05
3.01E+03							-2.14E-05
3.02E+03							-2.08E-05
3.02E+03							-2.06E-05
3.03E+03							-1.76E-05
3.03E+03							-2.08E-05
3.04E+03							-2.14E-05
3.04E+03							-2.07E-05
3.05E+03							-1.80E-05
3.05E+03							-2.26E-05
3.06E+03							-2.16E-05
3.06E+03							-1.89E-05
3.07E+03							-2.23E-05
3.07E+03							-2.13E-05
3.08E+03							-2.19E-05
3.08E+03							-1.85E-05
3.09E+03							-2.22E-05
3.09E+03							-2.16E-05
3.10E+03							-1.87E-05
3.11E+03							-2.22E-05
3.11E+03							-2.14E-05
3.12E+03							-2.18E-05
3.12E+03							-1.72E-05
3.13E+03							-2.24E-05
3.13E+03							-2.06E-05
3.14E+03							-1.80E-05
3.14E+03							-2.09E-05
3.15E+03							-2.10E-05
3.15E+03							-2.08E-05
3.16E+03							-2.11E-05
3.16E+03							-2.10E-05
3.17E+03							-1.74E-05
3.17E+03							-2.10E-05
3.18E+03							-2.16E-05
3.18E+03							-1.80E-05
3.19E+03							-2.15E-05
3.19E+03							-2.18E-05
3.20E+03							-1.85E-05
3.21E+03							-2.10E-05
3.21E+03							-2.08E-05
3.22E+03							-2.18E-05
3.22E+03							-2.13E-05
3.23E+03							-1.79E-05
3.23E+03							-2.20E-05
3.24E+03							-1.80E-05
3.24E+03							-2.34E-05
3.25E+03							-2.21E-05
3.25E+03							-1.89E-05
3.26E+03							-2.19E-05
3.26E+03							-2.18E-05
3.27E+03							-1.89E-05
3.27E+03							-2.22E-05
3.28E+03							-1.93E-05
3.29E+03							-2.16E-05
3.29E+03							-1.77E-05
3.30E+03							-2.21E-05
3.30E+03							-1.86E-05
3.31E+03							-2.14E-05
3.31E+03							-1.93E-05
3.32E+03							-2.08E-05
3.32E+03							-2.08E-05
3.33E+03							-1.87E-05
3.33E+03							-2.30E-05
3.34E+03							-2.18E-05
3.35E+03							-1.81E-05
3.35E+03							-2.24E-05
3.36E+03							-2.24E-05
3.36E+03							-2.24E-05
3.37E+03							-1.99E-05
3.37E+03							-2.31E-05
3.38E+03							-2.30E-05
3.38E+03							-2.41E-05
3.39E+03							-2.38E-05
3.39E+03							-1.98E-05
3.40E+03							-2.45E-05
3.40E+03							-2.02E-05
3.41E+03							-2.36E-05
3.41E+03							-2.31E-05
3.42E+03							-1.98E-05
3.43E+03							-2.38E-05
3.43E+03							-2.35E-05
3.44E+03							-2.28E-05
3.44E+03							-1.97E-05
3.45E+03							-2.30E-05
3.45E+03							-1.95E-05
3.46E+03							-2.32E-05
3.46E+03							-2.39E-05
3.47E+03							-1.89E-05
3.47E+03							-2.40E-05
3.48E+03							-2.29E-05
3.48E+03							-2.36E-05
3.49E+03							-1.93E-05
3.49E+03							-2.39E-05
3.50E+03							-2.27E-05
3.50E+03							-2.28E-05
3.51E+03							-2.37E-05
3.52E+03							-1.91E-05
3.52E+03							-2.41E-05
3.53E+03							-2.28E-05
3.53E+03							-1.88E-05
3.54E+03							-2.43E-05
3.54E+03							-2.36E-05
3.55E+03							-1.90E-05
3.55E+03							-2.48E-05
3.56E+03							-2.02E-05
3.56E+03							-2.32E-05
3.57E+03							-2.03E-05
3.57E+03							-2.65E-05
3.58E+03							-2.08E-05
3.59E+03							-2.40E-05
3.59E+03							-2.00E-05
3.60E+03							-2.40E-05
3.60E+03							-2.36E-05
3.61E+03							-1.86E-05
3.61E+03							-2.34E-05
3.62E+03							-1.93E-05
3.62E+03							-2.49E-05
3.63E+03							-2.36E-05
3.63E+03							-1.86E-05
3.64E+03							-2.41E-05
3.65E+03							-1.99E-05
3.65E+03							-2.32E-05
3.66E+03							-1.92E-05
3.66E+03							-2.31E-05
3.67E+03							-2.29E-05
3.67E+03							-2.25E-05
3.68E+03							-1.84E-05
